"Story","Title","Result","Date","Stability","Duration (s)"
"oauth2 requests to twitter API","Authentication is successful","SUCCESS","2020-10-25T01:27:49.746+02:00[Europe/Paris]","0.0","4.33"
"oauth2 requests to twitter API","Authentication is not successful with invalid token","SUCCESS","2020-10-25T01:27:54.087+02:00[Europe/Paris]","0.0","1.0"
